timestamp,product_id,price,volume_24h,volume_30d,best_bid,best_ask,side,time,trade_id,last_size
2025-09-13T09:27:49.274048,BTC-USD,116016.47,5040.3052396,154584.77829605,116016.46,116016.47,buy,2025-09-13T14:27:51.926796Z,873581937,2.32e-06
2025-09-13T09:27:49.274200,BTC-USD,116016.47,5040.30525608,154584.77831253,116016.46,116016.58,buy,2025-09-13T14:27:51.926796Z,873581938,1.648e-05
2025-09-13T09:27:49.274346,BTC-USD,116016.58,5040.3066,154584.77965645,116016.46,116019.37,buy,2025-09-13T14:27:51.926796Z,873581939,0.00134392
2025-09-13T09:27:49.274468,BTC-USD,116019.37,5040.30753359,154584.78059004,116016.46,116019.37,buy,2025-09-13T14:27:51.926796Z,873581940,0.00093359
2025-09-13T09:27:49.407072,BTC-USD,116016.57,5040.31406284,154584.78711929,116016.57,116016.58,sell,2025-09-13T14:27:52.011241Z,873581941,0.00652925
2025-09-13T09:27:49.463254,BTC-USD,116016.58,5040.31631404,154584.78937049,116016.57,116016.58,buy,2025-09-13T14:27:52.027767Z,873581942,0.0022512
2025-09-13T09:27:49.463793,BTC-USD,116016.58,5040.31631713,154584.78937358,116016.57,116016.58,buy,2025-09-13T14:27:52.027767Z,873581943,3.09e-06
2025-09-13T09:27:49.464243,BTC-USD,116016.58,5040.31631919,154584.78937564,116016.57,116020.0,buy,2025-09-13T14:27:52.027767Z,873581944,2.06e-06
2025-09-13T09:27:50.488563,BTC-USD,116019.99,5040.31839986,154584.79145631,116019.99,116020.0,sell,2025-09-13T14:27:53.031168Z,873581945,0.00208067
2025-09-13T09:27:50.557892,BTC-USD,116020.0,5040.31840892,154584.79146537,116019.99,116020.0,buy,2025-09-13T14:27:53.079703Z,873581946,9.06e-06
2025-09-13T09:27:50.558047,BTC-USD,116020.0,5040.32159252,154584.79464897,116019.99,116020.0,buy,2025-09-13T14:27:53.079703Z,873581947,0.0031836
2025-09-13T09:27:50.558151,BTC-USD,116020.0,5040.32188689,154584.79494334,116019.99,116020.0,buy,2025-09-13T14:27:53.079703Z,873581948,0.00029437
2025-09-13T09:27:50.558243,BTC-USD,116020.0,5040.32194219,154584.79499864,116019.99,116020.5,buy,2025-09-13T14:27:53.079703Z,873581949,5.53e-05
2025-09-13T09:27:50.558333,BTC-USD,116020.5,5040.32356697,154584.79662342,116019.99,116020.5,buy,2025-09-13T14:27:53.079703Z,873581950,0.00162478
2025-09-13T09:27:50.630138,BTC-USD,116020.5,5040.32373728,154584.79679373,116020.49,116020.5,buy,2025-09-13T14:27:53.284331Z,873581951,0.00017031
2025-09-13T09:27:52.023130,BTC-USD,116020.5,5040.32379275,154584.7968492,116020.49,116020.5,buy,2025-09-13T14:27:54.477317Z,873581952,5.547e-05
2025-09-13T09:27:52.369690,BTC-USD,116020.5,5040.32399275,154584.7970492,116020.49,116020.5,buy,2025-09-13T14:27:55.006792Z,873581953,0.0002
2025-09-13T09:27:52.679428,BTC-USD,116020.5,5040.3240745,154584.79713095,116020.49,116020.5,buy,2025-09-13T14:27:55.332517Z,873581954,8.175e-05
2025-09-13T09:27:53.366549,BTC-USD,116020.49,5040.32407456,154584.79713101,116020.49,116020.5,sell,2025-09-13T14:27:56.012441Z,873581955,6e-08
2025-09-13T09:27:53.495177,BTC-USD,116020.5,5040.32415776,154584.79721421,116020.49,116020.5,buy,2025-09-13T14:27:56.140684Z,873581956,8.32e-05
2025-09-13T09:27:54.483869,BTC-USD,116020.49,5040.32418524,154584.79724169,116020.49,116020.5,sell,2025-09-13T14:27:56.839589Z,873581957,2.748e-05
2025-09-13T09:27:54.484003,BTC-USD,116020.49,5040.32624745,154584.7993039,116020.49,116020.5,sell,2025-09-13T14:27:56.839589Z,873581958,0.00206221
2025-09-13T09:27:54.639893,BTC-USD,116020.49,5040.32624751,154584.79930396,116020.49,116020.5,sell,2025-09-13T14:27:57.291633Z,873581959,6e-08
2025-09-13T09:27:54.704559,BTC-USD,116020.5,5040.32830278,154584.80135923,116020.49,116020.5,buy,2025-09-13T14:27:57.293854Z,873581960,0.00205527
2025-09-13T09:27:54.704735,BTC-USD,116020.5,5040.32833691,154584.80139336,116020.49,116020.5,buy,2025-09-13T14:27:57.293854Z,873581961,3.413e-05
2025-09-13T09:27:54.705093,BTC-USD,116020.5,5040.32835446,154584.80141091,116020.49,116020.5,buy,2025-09-13T14:27:57.293854Z,873581962,1.755e-05
2025-09-13T09:27:54.705237,BTC-USD,116020.5,5040.32850164,154584.80155809,116020.49,116020.5,buy,2025-09-13T14:27:57.293854Z,873581963,0.00014718
2025-09-13T09:27:54.705372,BTC-USD,116020.5,5040.3304988,154584.80355525,116020.49,116020.5,buy,2025-09-13T14:27:57.293854Z,873581964,0.00199716
2025-09-13T09:27:55.097301,BTC-USD,116020.5,5040.33050195,154584.8035584,116020.49,116020.5,buy,2025-09-13T14:27:57.596702Z,873581965,3.15e-06
2025-09-13T09:27:55.097546,BTC-USD,116020.5,5040.33053716,154584.80359361,116020.49,116020.5,buy,2025-09-13T14:27:57.596702Z,873581966,3.521e-05
2025-09-13T09:27:55.097759,BTC-USD,116020.5,5040.33133643,154584.80439288,116020.49,116020.5,buy,2025-09-13T14:27:57.596702Z,873581967,0.00079927
2025-09-13T09:27:55.887228,BTC-USD,116020.49,5040.33133649,154584.80439294,116020.49,116020.5,sell,2025-09-13T14:27:58.443254Z,873581968,6e-08
2025-09-13T09:27:56.632679,BTC-USD,116020.5,5040.33278002,154584.80583647,116020.49,116020.5,buy,2025-09-13T14:27:59.251880Z,873581969,0.00144353
2025-09-13T09:27:56.632805,BTC-USD,116020.5,5040.33286745,154584.8059239,116020.49,116020.5,buy,2025-09-13T14:27:59.251880Z,873581970,8.743e-05
2025-09-13T09:27:56.632894,BTC-USD,116020.5,5040.33288882,154584.80594527,116020.49,116020.5,buy,2025-09-13T14:27:59.251880Z,873581971,2.137e-05
2025-09-13T09:27:56.633186,BTC-USD,116020.5,5040.33289166,154584.80594811,116020.49,116020.5,buy,2025-09-13T14:27:59.251880Z,873581972,2.84e-06
