symbol,strategy,model_branch,signals_evaluated,signals_generated,executable_intents,blocked_intents,avg_signal_strength,avg_expected_return,avg_fee_adjusted_expected_return,realized_pnl,average_win,average_loss,expectancy,profit_factor,drawdown,closing_legs,blocked_intent_rate_pct,intent_conversion_rate_pct,winners,losers
OPN-USD,ml_enhanced_orderbook,unknown,39,36,0,36,0.3454214594,-0.3388481538,0.3176431834,0.0,,,,,0.0,0,100.000000,0.000000,0,0
ORCA-USD,ml_enhanced_orderbook,unknown,39,5,0,5,0.0855650515,0.1245539278,0.1574456636,0.0,,,,,0.0,0,100.000000,0.000000,0,0
OSMO-USD,ml_enhanced_orderbook,unknown,39,36,0,36,0.3833585370,0.2427514827,0.2227349796,0.0,,,,,0.0,0,100.000000,0.000000,0,0
OXT-USD,ml_enhanced_orderbook,unknown,39,3,0,3,0.1252260547,0.1934207728,0.1644733329,0.0,,,,,0.0,0,100.000000,0.000000,0,0
PAX-USD,ml_enhanced_orderbook,unknown,39,39,0,39,0.5278081542,0.4396997423,0.4037036670,0.0,,,,,0.0,0,100.000000,0.000000,0,0
PAXG-USD,ml_enhanced_orderbook,unknown,39,3,0,3,0.0952345589,-0.1208154385,0.1037522037,0.0,,,,,0.0,0,100.000000,0.000000,0,0
PENDLE-USD,ml_enhanced_orderbook,unknown,39,0,0,0,0.0570945633,,,0.0,,,,,0.0,0,,,0,0
PENGU-USD,ml_enhanced_orderbook,unknown,39,6,0,6,0.0978662536,-0.1037567578,0.0747704723,0.0,,,,,0.0,0,100.000000,0.000000,0,0
PEPE-USD,ml_enhanced_orderbook,unknown,39,0,0,0,0.0559741538,,,0.0,,,,,0.0,0,,,0,0
PERP-USD,ml_enhanced_orderbook,unknown,39,0,0,0,0.1878600247,,,0.0,,,,,0.0,0,,,0,0
PLU-USD,ml_enhanced_orderbook,unknown,39,7,0,7,0.1111697393,-0.1639271932,0.1178257269,0.0,,,,,0.0,0,100.000000,0.000000,0,0
PLUME-USD,ml_enhanced_orderbook,unknown,39,11,0,11,0.1547499844,-0.1613299251,0.1367455356,0.0,,,,,0.0,0,100.000000,0.000000,0,0
PNG-USD,ml_enhanced_orderbook,unknown,39,39,0,39,0.4852951566,0.4355926296,0.4012517403,0.0,,,,,0.0,0,100.000000,0.000000,0,0
PNUT-USD,ml_enhanced_orderbook,unknown,39,11,0,11,0.1602764674,0.1009494811,0.0802233813,0.0,,,,,0.0,0,100.000000,0.000000,0,0
POL-USD,ml_enhanced_orderbook,unknown,39,4,0,4,0.1222541466,-0.2310859375,0.2131182709,0.0,,,,,0.0,0,100.000000,0.000000,0,0
POLS-USD,ml_enhanced_orderbook,unknown,39,0,0,0,0.0472984312,,,0.0,,,,,0.0,0,,,0,0
POND-USD,ml_enhanced_orderbook,unknown,39,38,0,38,0.3387968968,0.5631127554,0.4051620099,0.0,,,,,0.0,0,100.000000,0.000000,0,0
POPCAT-USD,ml_enhanced_orderbook,unknown,39,0,0,0,0.0594404572,,,0.0,,,,,0.0,0,,,0,0
POWR-USD,ml_enhanced_orderbook,unknown,39,11,0,11,0.1786115246,0.1955552968,0.1745842841,0.0,,,,,0.0,0,100.000000,0.000000,0,0
PRCL-USD,ml_enhanced_orderbook,unknown,39,39,0,39,0.4279223092,0.3509898766,0.3171831540,0.0,,,,,0.0,0,100.000000,0.000000,0,0
PRIME-USD,ml_enhanced_orderbook,unknown,39,39,0,39,0.6233924367,-0.4747683459,0.4527137099,0.0,,,,,0.0,0,100.000000,0.000000,0,0
PRL-USD,ml_enhanced_orderbook,unknown,39,6,0,6,0.1529027959,-0.1554364450,0.2555000299,0.0,,,,,0.0,0,100.000000,0.000000,0,0
PRO-USD,ml_enhanced_orderbook,unknown,39,19,0,19,0.2232865392,0.2371746215,0.2184437056,0.0,,,,,0.0,0,100.000000,0.000000,0,0
PROMPT-USD,ml_enhanced_orderbook,unknown,39,19,0,19,0.2100411995,0.1349366048,0.1133684303,0.0,,,,,0.0,0,100.000000,0.000000,0,0
